term,estimate,std.error,statistic,p.value
(Intercept),11.804517701355746,1.8599593712162574,6.346653525897493,0.007912652283911265
"L(dfx, 1)",-0.7047388046554615,0.19278658716868433,-3.6555385673113734,0.035355125338226295
dintm,0.9565941740293868,0.14091271263842006,6.78855836438259,0.006534485532668887
"L(dintm, 1)",0.5308411813410918,0.2574060516510485,2.0622715664071665,0.13120987564553974
"L(dintm, 2)",-0.0667424857670636,0.11615934999620367,-0.574576956303947,0.6058342171399671
"L(dintm, 3)",-0.2295862591516976,0.07768361402109347,-2.9554013680331344,0.05976442473122429
"L(dintm, 4)",0.0507833707985426,0.09313302279097423,0.5452778109921302,0.6234889032455814
"L(dintm, 5)",-0.024725680544560657,0.0845784965927103,-0.29234003370416645,0.7890787762326523
dfm,-0.17022684050574047,0.06617686085625962,-2.572301531127082,0.08232828117025813
"L(dfm, 1)",-0.0650687861549281,0.07655815347036134,-0.8499262744120231,0.4578153572413736
